SMILES,CYP1A2,CYP2C9,CYP2D6,CYP3A4
CC1=C(O)C(C=O)=C(CO)C=N1,4.447457313537598,4.024181365966797,4.489952564239502,3.535289764404297
CC(C)(OC1=CC=C(Cl)C=C1)C(=O)O,4.328129768371582,4.473139762878418,3.9900259971618652,2.9801156520843506
CCOC(=O)N1CSCC1C(=O)O,3.2519922256469727,2.9463958740234375,4.1603240966796875,1.544151782989502
O=C(O)C1=CN=CC=C1,2.944218158721924,2.99540638923645,4.4740800857543945,2.1165692806243896
NCC1=CC=C(S(N)(=O)=O)C=C1,4.646048069000244,4.232637882232666,4.4975996017456055,3.321427583694458
CC(C)NCC(O)COC1=C2C=CC=CC2=CC=C1,5.641576766967773,3.986055850982666,5.513596057891846,4.218900203704834
CNC(C)CC1=C(OC)C=CC=C1,4.322351455688477,4.230964660644531,5.754469871520996,4.324411869049072
O=S(=O)(C1=CC=CC2=CN=CC=C12)N1CCCNCC1,4.4075188636779785,4.4146728515625,5.816346645355225,4.301011562347412
NCCC1=CNC2=CC=C(O)C=C12,5.064961910247803,4.070257186889648,4.615626335144043,3.905186891555786
[H][C@@]12CCC3=CC(O)=CC=C3[C@@]1([H])CC[C@]1(C)[C@@H](O)CC[C@@]21[H],5.335691928863525,4.840266704559326,4.7976975440979,4.935949802398682
O=C(C1=CC=C(OCCN2CCCCC2)C=C1)C1=C(C2=CC=C(O)C=C2)SC2=CC(O)=CC=C12,4.587489128112793,5.127829074859619,4.39973258972168,4.838281154632568
OC(CCN1CCCCC1)(C1=CC=CC=C1)C1CCCCC1,4.995674133300781,4.478495121002197,5.260941505432129,4.09548807144165
COC1=CC2=NC(N3CCN(C(=O)C4=CC=CO4)CC3)=NC(N)=C2C=C1OC,3.4506850242614746,3.9199862480163574,4.500781536102295,4.029984951019287
CCC1=NN(CCCN2CCN(C3=CC=CC(Cl)=C3)CC2)C(=O)N1CCOC1=CC=CC=C1,4.302044868469238,4.257755279541016,4.7378926277160645,4.490663051605225
OCCN1CCN(CCCN2C3=C(C=CC=C3)SC3=CC=C(Cl)C=C32)CC1,4.927314758300781,4.269188404083252,5.9888763427734375,4.513803958892822
CC(C)NCC(O)C1=CC(O)=C(O)C=C1,4.240509986877441,4.140052795410156,4.541197776794434,3.3403544425964355
COC1=C(OCCCN2CCC(C3=NOC4=C3C=CC(F)=C4)CC2)C=CC(C(C)=O)=C1,4.404988765716553,4.688267230987549,5.19317102432251,4.629991054534912
O=C(CCCN1CCC(O)(C2=CC=C(Cl)C=C2)CC1)C1=CC=C(F)C=C1,4.552192687988281,4.647588729858398,5.377336502075195,5.251042366027832
O=C1CCC2=C(C=C(OCCCCN3CCN(C4=C(Cl)C(Cl)=CC=C4)CC3)C=C2)N1,4.651575088500977,4.899852752685547,4.542422771453857,4.9222731590271
